,Compound Score,Negative Score,Neutral Score,Positive Score,Source,Text,Tweets Ago
0,0.0,0.0,1.0,0.0,BBC News (UK),Cuba to recognise private property under new constitution https://t.co/1ZJw2dPa6y,1
1,0.0,0.0,1.0,0.0,BBC News (UK),Heatwave causes spike in insect bite calls to NHS https://t.co/OvulqhHuIL,2
2,0.0,0.0,1.0,0.0,BBC News (UK),'Why I keep my vasectomy a secret' https://t.co/mEeTWg9TVk,3
3,-0.3182,0.247,0.753,0.0,BBC News (UK),Haiti Prime Minister Jack Guy Lafontant resigns https://t.co/RViI5ZJw0T,4
4,-0.0516,0.146,0.854,0.0,BBC News (UK),Trump to leave UK after two-night stay https://t.co/waIcugVFDy,5
5,0.0,0.0,1.0,0.0,BBC News (UK),Govia Thameslink Railway introduces third timetable in two months https://t.co/tbn398cRpu,6
6,-0.3818,0.31,0.69,0.0,BBC News (UK),Newspaper headlines: PM warns 'there may be no Brexit' https://t.co/lQ0MfNZJ77,7
7,0.0516,0.23,0.592,0.178,BBC News (UK),PM Theresa May warns party not to put Brexit at risk https://t.co/UBOINvUImO,8
8,0.0,0.0,1.0,0.0,BBC News (UK),World Cup final 2018: France v Croatia - your guide to Sunday's match https://t.co/AXppFru9G9,9
9,0.0,0.0,1.0,0.0,BBC News (UK),Eden Hazard: Chelsea forward says it 'might be time for something different' https://t.co/rXJy7qqUcW,10
10,-0.3182,0.223,0.777,0.0,BBC News (UK),Minister Andrew Griffiths resigns over texts to women https://t.co/lGGK9j5qXi,11
11,-0.6597,0.375,0.625,0.0,BBC News (UK),Wave of Israeli Gaza strikes amid surge in rocket attacks https://t.co/4W5ZEaRWto,12
12,-0.34,0.286,0.714,0.0,BBC News (UK),Large grass fire tackled near Heathrow https://t.co/h1XFyc1Gdf,13
13,0.3818,0.0,0.794,0.206,BBC News (UK),England v India: Joe Root's ton helps hosts level ODI series https://t.co/VhoxO0OMbK,14
14,0.0,0.0,1.0,0.0,BBC News (UK),"RT @BBCWorld: Mon dieu! 🤦‍♀️

#BastilleDay went off with a bang - for these police motorcyclists

https://t.co/jh88YrDQA4 #14juillet https:…",15
15,0.5267,0.0,0.702,0.298,BBC News (UK),Autistic boy's mum praises 'lovely' school prom classmates https://t.co/KkrBN5beHd,16
16,0.5859,0.0,0.703,0.297,BBC News (UK),Is Russia the real winner of World Cup 2018? https://t.co/Gzn3gkKL1r,17
17,0.5859,0.0,0.725,0.275,BBC News (UK),Wimbledon 2018: Angeligue Kerber beats Serena Williams to win title https://t.co/AiqRmK0qjJ,18
18,0.658,0.0,0.834,0.166,BBC News (UK),"RT @5liveSport: History for Angelique Kerber! 👏

The German beats Serena Williams 6-3, 6-3 to win her first ever #Wimbledon singles title!…",19
19,-0.6908,0.299,0.701,0.0,BBC News (UK),Reality Check: is London's murder rate still higher than New York's? https://t.co/EDqS4bkt1m,20
20,0.0,0.0,1.0,0.0,BBC News (UK),British teenager dies in Magaluf balcony fall https://t.co/YeZ1wD1jWr,21
21,0.0,0.0,1.0,0.0,BBC News (UK),Dog poo in Clevedon's Marine Lake causes ear infections https://t.co/UlMulVTx3y,22
22,-0.4588,0.25,0.75,0.0,BBC News (UK),World Cup 2018: England finish fourth after Belgium defeat https://t.co/cjulTH4qCh,23
23,-0.0516,0.054,0.946,0.0,BBC News (UK),"RT @BBCSport: FT Belgium 2-0 England

England leave Russia with their heads held high and their joint-best #worldcup finish since '66.

Bel…",24
24,0.0,0.0,1.0,0.0,BBC News (UK),"RT @BBCSport: GOAL

That might just settle it.

Eden Hazard races past Phil Jones and makes it Belgium 2-0 England

Live 👉 https://t.co/zMI…",25
25,0.0,0.0,1.0,0.0,BBC News (UK),"RT @bbctennis: A royal standing ovation.

But who will be crowned the queen of Wimbledon 2018?

#bbctennis #wimbledon https://t.co/Z5an2Giy…",26
26,0.0,0.0,1.0,0.0,BBC News (UK),"RT @5liveSport: Two changes for #ENG as we get back under way in Saint Petersburg 

Lingard 🔄 Rose

Rashford 🔄  Sterling

They trail #BEL b…",27
27,0.0,0.0,1.0,0.0,BBC News (UK),100 Women: 'I was a World Cup honey shot' https://t.co/xPKeWpZkVp,28
28,0.0,0.0,1.0,0.0,BBC News (UK),"I subscribe, therefore I am? https://t.co/ydo4UoqmMi",29
29,0.0,0.0,1.0,0.0,BBC News (UK),"RT @BBCSport: HT Belgium 1-0 England

Roberto Martinez's #BEL lead through Thomas Meunier - and you have to say they deserve it.
👉 https://…",30
30,0.0,0.0,1.0,0.0,BBC News (UK),"RT @5liveSport: It's all over!

After over 5hrs 16mins (and an overnight break) on court, Novak Djokovic will face Kevin Anderson in Sunday…",31
31,0.5859,0.0,0.703,0.297,BBC News (UK),X Factor winner Louisa Johnson splits from Simon Cowell’s label https://t.co/T8GeHm0TSG,32
32,0.5859,0.0,0.743,0.257,BBC News (UK),Wimbledon 2018: Gordon Reid &amp; Alfie Hewett win wheelchair doubles title https://t.co/DAX3I3tXX4,33
33,0.8316,0.0,0.476,0.524,BBC News (UK),"An impressive delivery... thank goodness he didn't get dismissed
 💍🏏 https://t.co/RyX96Qm1ws",34
34,-0.6808,0.483,0.517,0.0,BBC News (UK),World Cup Final blamed Sunday rail disruption https://t.co/AxH3MqsXNn,35
